Customer ID,L,R,F,M,S,cluster
12346,196,164,11,372.86,0.2535404510329601,0
12347,37,2,2,1323.32,0.4007964043526257,1
12348,0,73,1,222.16,0.3217158176943699,1
12349,181,42,3,2671.14,0.3608421384639647,0
12351,0,10,1,300.93,0.3892761394101877,1
12352,16,10,2,343.8,0.3922173158807759,1
12353,0,43,1,317.76,0.353887399463807,1
12355,0,202,1,488.21,0.1833780160857908,1
12356,44,15,3,3562.25,0.3897965620564579,0
12357,0,23,2,12079.99,0.3782762971140199,0
12358,356,10,3,2719.01,0.3951584923513641,0
12359,308,60,6,2563.36,0.3503627188140672,1
12360,276,14,5,1590.83,0.3967513010566157,1
12361,220,97,3,321.35,0.3018609052199968,1
12362,0,373,1,130.0,0.0,1
12366,0,268,1,500.24,0.1126005361930294,1
12368,0,263,1,917.7,0.1179624664879356,1
12369,228,48,3,1791.15,0.3544078221100772,1
12370,44,259,3,774.62,0.128134363665037,1
12371,235,44,3,2179.42,0.3586973663460022,1
12373,49,259,2,763.0500000000001,0.1251931871944488,1
12374,166,56,3,2246.29,0.3458287336382274,1
12376,28,24,2,503.15,0.3772039110550386,1
12377,208,16,2,1798.2,0.3857829995268885,1
12378,0,197,1,1407.7,0.188739946380697,1
12379,112,57,2,767.98,0.3418151711086579,1
12380,197,100,7,6951.49,0.3104084529254061,0
12385,0,14,1,1938.4,0.3849865951742627,1
12386,0,1,1,258.90000000000003,0.3989276139410188,1
12387,0,50,1,143.94,0.3463806970509384,1
12388,136,80,2,1120.45,0.3171502917520896,1
12389,253,37,3,1433.33,0.3662040687588708,1
12391,198,99,5,2312.53,0.3055984860432109,1
12392,0,226,1,234.75000000000003,0.1576407506702413,1
12393,46,17,2,816.85,0.3847106134679072,1
12395,231,6,4,2048.64,0.4023892130578773,1
12396,0,309,1,931.43,0.0686327077747989,1
12399,259,20,3,853.65,0.3844346317615518,1
12400,0,49,1,205.25,0.3474530831099196,1
12402,277,27,5,1031.3,0.3828102822898596,1
12403,0,156,1,591.6600000000001,0.2327077747989276,1
12404,0,317,1,63.24,0.060053619302949,1
12406,297,34,3,2975.06,0.3694212269358145,0
12408,112,20,3,1452.22,0.3844346317615518,1
12409,144,55,4,12346.62,0.3498422961677969,0
12410,0,137,1,320.38,0.253083109919571,1
12411,0,44,1,346.9,0.3528150134048258,1
12412,137,37,3,1370.05,0.3662040687588708,1
12413,0,37,1,241.35,0.3603217158176944,1
12414,0,98,3,390.0,0.3007885191610156,1
12415,152,10,7,19543.84,0.4069231982337171,0
12416,0,291,1,202.56,0.0879356568364611,1
