Customer ID,L,R,F,M,S,cluster,score,tier,risk_flag,stability_score
12346,196.0,164.0,11.0,372.86,0.2535404510329601,0.0,4101.46,Platinum,Low Risk,0.8
12347,37.0,2.0,2.0,1323.32,0.4007964043526257,1.0,2646.64,Gold,Low Risk,0.3986473619700379
12348,0.0,73.0,1.0,222.16,0.3217158176943699,1.0,222.16,Platinum,Low Risk,0.8
12349,181.0,42.0,3.0,2671.14,0.3608421384639647,0.0,8013.42,Platinum,Low Risk,0.8
12351,0.0,10.0,1.0,300.93,0.3892761394101877,1.0,300.93,Silver,Low Risk,0.3788397817852497
12352,16.0,10.0,2.0,343.8,0.3922173158807759,1.0,687.6,Silver,Low Risk,0.3817021063397363
12353,0.0,43.0,1.0,317.76,0.353887399463807,1.0,317.76,Silver,Low Risk,0.3130907287481402
12355,0.0,202.0,1.0,488.21,0.1833780160857908,1.0,488.21,Silver,High Risk,0.0840687419589014
12356,44.0,15.0,3.0,3562.25,0.3897965620564579,0.0,10686.75,Gold,Low Risk,0.3741210970944019
12357,0.0,23.0,2.0,12079.99,0.3782762971140199,0.0,24159.98,Platinum,Low Risk,0.3549509490346031
12358,356.0,10.0,3.0,2719.01,0.3951584923513641,0.0,8157.030000000001,Gold,Low Risk,0.3845644308942229
12359,308.0,60.0,6.0,2563.36,0.3503627188140672,1.0,15380.16,Platinum,Low Risk,0.2940041045276221
12360,276.0,14.0,5.0,1590.83,0.3967513010566157,1.0,7954.15,Gold,Low Risk,0.3818598313118633
12361,220.0,97.0,3.0,321.35,0.3018609052199968,1.0,964.05,Silver,High Risk,0.2233608842914722
12362,0.0,373.0,1.0,130.0,0.0,1.0,130.0,Bronze,High Risk,0.0
12366,0.0,268.0,1.0,500.24,0.1126005361930294,1.0,500.24,Silver,High Risk,0.0316972018773943
12368,0.0,263.0,1.0,917.7,0.1179624664879356,1.0,917.7,Silver,High Risk,0.0347878587497933
12369,228.0,48.0,3.0,1791.15,0.3544078221100772,1.0,5373.450000000001,Gold,Low Risk,0.3088003811951075
12370,44.0,259.0,3.0,774.62,0.128134363665037,1.0,2323.86,Gold,High Risk,0.0391617090021828
12371,235.0,44.0,3.0,2179.42,0.3586973663460022,1.0,6538.26,Gold,Low Risk,0.3163845402891011
12373,49.0,259.0,2.0,763.0500000000001,0.1251931871944488,1.0,1526.1,Silver,High Risk,0.0382627971586251
12374,166.0,56.0,3.0,2246.29,0.3458287336382274,1.0,6738.87,Gold,Low Risk,0.2939080658533997
12376,28.0,24.0,2.0,503.15,0.3772039110550386,1.0,1006.3,Silver,Low Risk,0.3529334181185213
12377,208.0,16.0,2.0,1798.2,0.3857829995268885,1.0,3596.4,Gold,Low Risk,0.3692346671075045
12378,0.0,197.0,1.0,1407.7,0.188739946380697,1.0,1407.7,Silver,High Risk,0.0890569183994709
12379,112.0,57.0,2.0,767.98,0.3418151711086579,1.0,1535.96,Silver,Low Risk,0.2895806811537155
12380,197.0,100.0,7.0,6951.49,0.3104084529254061,0.0,48660.43,Platinum,High Risk,0.2271890285486216
