Customer ID,L,R,F,M,S
12346,196,0,58,202825.86,0.2535404510329601
12347,37,2,2,1323.32,0.4007964043526257
12348,0,0,199,1208924.16,0.3217158176943699
12349,181,0,10,26064.14,0.3608421384639647
12351,0,10,1,300.93,0.3892761394101877
12352,16,10,2,343.8,0.3922173158807759
12353,0,43,1,317.76,0.353887399463807
12355,0,202,1,488.21,0.1833780160857908
12356,44,15,3,3562.25,0.3897965620564579
12357,0,23,2,12079.99,0.3782762971140199
12358,356,10,3,2719.01,0.3951584923513641
12359,308,60,6,2563.36,0.3503627188140672
12360,276,14,5,1590.83,0.3967513010566157
12361,220,97,3,321.35,0.3018609052199968
12362,0,373,1,130.0,0.0
12366,0,268,1,500.24,0.1126005361930294
12368,0,263,1,917.7,0.1179624664879356
12369,228,48,3,1791.15,0.3544078221100772
12370,44,259,3,774.62,0.128134363665037
12371,235,44,3,2179.42,0.3586973663460022
12373,49,259,2,763.0500000000001,0.1251931871944488
12374,166,56,3,2246.29,0.3458287336382274
12376,28,24,2,503.15,0.3772039110550386
12377,208,16,2,1798.2,0.3857829995268885
12378,0,197,1,1407.7,0.188739946380697
12379,112,57,2,767.98,0.3418151711086579
12380,197,100,7,6951.49,0.3104084529254061
12385,0,14,1,1938.4,0.3849865951742627
12386,0,1,1,258.90000000000003,0.3989276139410188
12387,0,50,1,143.94,0.3463806970509384
12388,136,80,2,1120.45,0.3171502917520896
12389,253,37,3,1433.33,0.3662040687588708
12391,198,99,5,2312.53,0.3055984860432109
12392,0,226,1,234.75000000000003,0.1576407506702413
12393,46,17,2,816.85,0.3847106134679072
12395,231,6,4,2048.64,0.4023892130578773
12396,0,309,1,931.43,0.0686327077747989
12399,259,20,3,853.65,0.3844346317615518
12400,0,49,1,205.25,0.3474530831099196
12402,277,27,5,1031.3,0.3828102822898596
12403,0,156,1,591.6600000000001,0.2327077747989276
12404,0,0,12,8852.24,0.060053619302949
12406,297,34,3,2975.06,0.3694212269358145
12408,112,20,3,1452.22,0.3844346317615518
12409,144,55,4,12346.62,0.3498422961677969
12410,0,137,1,320.38,0.253083109919571
12411,0,44,1,346.9,0.3528150134048258
12412,137,37,3,1370.05,0.3662040687588708
12413,0,37,1,241.35,0.3603217158176944
12414,0,98,3,390.0,0.3007885191610156
12415,152,10,7,19543.84,0.4069231982337171
12416,0,291,1,202.56,0.0879356568364611
12417,323,45,11,3167.81,0.3811543920517269
12418,216,48,3,1352.62,0.3544078221100772
12419,27,20,2,503.01,0.3814934552909635
12421,90,50,2,291.56,0.3493218735215266
12422,327,29,14,4428.24,0.4071360984071913
12423,78,22,2,763.08,0.3793486831730011
12424,125,57,2,1579.07,0.3418151711086579
12425,0,83,1,964.21,0.3109919571045576
12426,0,297,1,762.48,0.0815013404825737
12427,0,6,1,303.5,0.3935656836461126
12429,180,0,5,3735.51,0.411764705882353
12431,320,8,13,4370.52,0.426715029175209
12433,110,1,5,7205.39,0.4106923198233717
12434,0,16,1,297.29,0.3828418230563002
12435,340,31,4,6096.04,0.3755795615833465
12437,341,30,21,7731.99,0.4266519476423277
12439,43,317,2,1158.18,0.0629947957735373
12440,255,97,2,859.2,0.2989197287494086
12441,0,1,1,173.55,0.3989276139410188
12443,0,367,1,485.31,0.0064343163538874
12445,0,55,1,301.58000000000004,0.3410187667560322
12449,28,45,2,768.6,0.3546838038164328
12450,75,34,3,490.32,0.3694212269358145
12451,66,98,3,3634.36,0.3007885191610156
12454,25,30,4,13151.44,0.3766519476423277
12455,276,80,4,3413.09,0.3230326446932661
12457,0,70,1,632.6800000000001,0.3249329758713137
12458,60,62,2,830.09,0.3364532408137518
12459,0,240,1,454.36,0.142627345844504
12460,0,91,1,326.65,0.3024128686327078
12466,0,317,1,56.73,0.060053619302949
12467,0,58,1,132.8,0.3378016085790885
12468,156,161,3,2941.2,0.2332281974451979
12469,14,157,2,3070.54,0.2345765652105346
12470,0,324,1,211.95,0.0525469168900804
12471,358,9,49,20139.74,0.5315249960574042
12472,356,4,13,11308.48,0.4310045734111339
12474,288,13,13,5048.66,0.4213530988803028
12475,0,44,1,426.26,0.3528150134048258
12476,105,31,12,7298.99,0.3991089733480523
12477,223,34,3,7056.63,0.3694212269358145
12480,108,34,3,2183.2200000000003,0.3694212269358145
12481,241,0,6,6765.07,0.4147058823529412
12482,77,211,29,23691.4,0.2560794827314303
12483,298,13,11,2635.6,0.4154707459391263
12484,197,118,6,1828.43,0.2881643273931557
12485,0,164,1,708.1,0.2241286863270777
