Customer ID,L,R,F,M,S,cluster,score,tier
12346,196,164,11,372.86,0.2535404510329601,0,4101.46,Platinum
12347,37,2,2,1323.32,0.4007964043526257,1,2646.64,Gold
12348,0,73,1,222.16,0.3217158176943699,1,222.16,Platinum
12349,181,42,3,2671.14,0.3608421384639647,0,8013.42,Platinum
12351,0,10,1,300.93,0.3892761394101877,1,300.93,Silver
12352,16,10,2,343.8,0.3922173158807759,1,687.6,Silver
12353,0,43,1,317.76,0.353887399463807,1,317.76,Silver
12355,0,202,1,488.21,0.1833780160857908,1,488.21,Silver
12356,44,15,3,3562.25,0.3897965620564579,0,10686.75,Gold
12357,0,23,2,12079.99,0.3782762971140199,0,24159.98,Platinum
12358,356,10,3,2719.01,0.3951584923513641,0,8157.030000000001,Gold
12359,308,60,6,2563.36,0.3503627188140672,1,15380.16,Platinum
12360,276,14,5,1590.83,0.3967513010566157,1,7954.15,Gold
12361,220,97,3,321.35,0.3018609052199968,1,964.05,Silver
12362,0,373,1,130.0,0.0,1,130.0,Bronze
12366,0,268,1,500.24,0.1126005361930294,1,500.24,Silver
12368,0,263,1,917.7,0.1179624664879356,1,917.7,Silver
12369,228,48,3,1791.15,0.3544078221100772,1,5373.450000000001,Gold
12370,44,259,3,774.62,0.128134363665037,1,2323.86,Gold
12371,235,44,3,2179.42,0.3586973663460022,1,6538.26,Gold
12373,49,259,2,763.0500000000001,0.1251931871944488,1,1526.1,Silver
12374,166,56,3,2246.29,0.3458287336382274,1,6738.87,Gold
12376,28,24,2,503.15,0.3772039110550386,1,1006.3,Silver
12377,208,16,2,1798.2,0.3857829995268885,1,3596.4,Gold
12378,0,197,1,1407.7,0.188739946380697,1,1407.7,Silver
12379,112,57,2,767.98,0.3418151711086579,1,1535.96,Silver
12380,197,100,7,6951.49,0.3104084529254061,0,48660.43,Platinum
12385,0,14,1,1938.4,0.3849865951742627,1,1938.4,Gold
12386,0,1,1,258.90000000000003,0.3989276139410188,1,258.90000000000003,Bronze
12387,0,50,1,143.94,0.3463806970509384,1,143.94,Bronze
12388,136,80,2,1120.45,0.3171502917520896,1,2240.9,Gold
12389,253,37,3,1433.33,0.3662040687588708,1,4299.99,Gold
12391,198,99,5,2312.53,0.3055984860432109,1,11562.65,Gold
12392,0,226,1,234.75000000000003,0.1576407506702413,1,234.75000000000003,Bronze
